value	width	height
`	137	1100
=	1500	1125
!=	945	1125
+	902	1125
-	742	1125
TIMES	742	1125
div	742	1125
+-	742	1125
LEQ	945	1125
GEQ	945	1125
<	810	1125
&lt;	2000	1125
>	810	1125
&gt;	2000	1125
(	810	1125
)	810	1125
.	270	1125
therefore	945	1125
because	945	1125
DEG	742	1125
ㄱ	945	1125
a	472	1125
b	405	1125
c	405	1125
d	540	1125
e	405	1125
f	540	1125
g	405	1125
h	472	1125
i	337	1125
j	405	1125
k	472	1125
l	270	1125
m	742	1125
n	540	1125
o	405	1125
p	472	1125
q	405	1125
r	405	1125
s	405	1125
t	337	1125
u	540	1125
v	405	1125
w	675	1125
x	540	1125
y	472	1125
z	405	1125
A	825	1125
B	750	1125
C	675	1125
D	750	1125
E	675	1125
F	675	1125
G	750	1125
H	825	1125
I	375	1125
J	450	1125
K	825	1125
L	675	1125
M	975	1125
N	825	1125
O	750	1125
P	675	1125
Q	750	1125
R	750	1125
S	600	1125
T	825	1125
U	750	1125
V	825	1125
W	1050	1125
X	750	1125
Y	750	1125
Z	600	1125
0	472	1125
1	472	1125
2	472	1125
3	472	1125
4	472	1125
5	472	1125
6	472	1125
7	472	1125
8	472	1125
9	472	1125
+a	1368	1125
+b	1301	1125
+c	1301	1125
+d	1436	1125
+e	1301	1125
+f	1436	1125
+g	1301	1125
+h	1368	1125
+i	1233	1125
+j	1301	1125
+k	1368	1125
+l	1166	1125
+m	1638	1125
+n	1436	1125
+o	1301	1125
+p	1368	1125
+q	1301	1125
+r	1301	1125
+s	1301	1125
+t	1233	1125
+u	1436	1125
+v	1301	1125
+w	1571	1125
+x	1436	1125
+y	1368	1125
+z	1301	1125
+A	1721	1125
+B	1646	1125
+C	1571	1125
+D	1646	1125
+E	1571	1125
+F	1571	1125
+G	1646	1125
+H	1721	1125
+I	1271	1125
+J	1346	1125
+K	1721	1125
+L	1571	1125
+M	1871	1125
+N	1721	1125
+O	1646	1125
+P	1571	1125
+Q	1646	1125
+R	1646	1125
+S	1496	1125
+T	1721	1125
+U	1646	1125
+V	1721	1125
+W	1946	1125
+X	1646	1125
+Y	1646	1125
+Z	1496	1125
+0	1368	1125
+1	1368	1125
+2	1368	1125
+3	1368	1125
+4	1368	1125
+5	1368	1125
+6	1368	1125
+7	1368	1125
+8	1368	1125
+9	1368	1125
-a	1368	1125
-b	1301	1125
-c	1301	1125
-d	1436	1125
-e	1301	1125
-f	1436	1125
-g	1301	1125
-h	1368	1125
-i	1233	1125
-j	1301	1125
-k	1368	1125
-l	1166	1125
-m	1638	1125
-n	1436	1125
-o	1301	1125
-p	1368	1125
-q	1301	1125
-r	1301	1125
-s	1301	1125
-t	1233	1125
-u	1436	1125
-v	1301	1125
-w	1571	1125
-x	1436	1125
-y	1368	1125
-z	1301	1125
-A	1721	1125
-B	1646	1125
-C	1571	1125
-D	1646	1125
-E	1571	1125
-F	1571	1125
-G	1646	1125
-H	1721	1125
-I	1271	1125
-J	1346	1125
-K	1721	1125
-L	1571	1125
-M	1871	1125
-N	1721	1125
-O	1646	1125
-P	1571	1125
-Q	1646	1125
-R	1646	1125
-S	1496	1125
-T	1721	1125
-U	1646	1125
-V	1721	1125
-W	1946	1125
-X	1646	1125
-Y	1646	1125
-Z	1496	1125
-0	1368	1125
-1	1368	1125
-2	1368	1125
-3	1368	1125
-4	1368	1125
-5	1368	1125
-6	1368	1125
-7	1368	1125
-8	1368	1125
-9	1368	1125
(a)	1223	1125
(b)	1156	1125
(c)	1156	1125
(d)	1291	1125
(e)	1156	1125
(f)	1291	1125
(g)	1156	1125
(h)	1223	1125
(i)	1088	1125
(j)	1156	1125
(k)	1223	1125
(l)	1021	1125
(m)	1493	1125
(n)	1291	1125
(o)	1156	1125
(p)	1223	1125
(q)	1156	1125
(r)	1156	1125
(s)	1156	1125
(t)	1088	1125
(u)	1291	1125
(v)	1156	1125
(w)	1426	1125
(x)	1291	1125
(y)	1223	1125
(z)	1156	1125
(A)	1576	1125
(B)	1501	1125
(C)	1426	1125
(D)	1501	1125
(E)	1426	1125
(F)	1426	1125
(G)	1501	1125
(H)	1576	1125
(I)	1126	1125
(J)	1201	1125
(K)	1576	1125
(L)	1426	1125
(M)	1726	1125
(N)	1576	1125
(O)	1501	1125
(P)	1426	1125
(Q)	1501	1125
(R)	1501	1125
(S)	1351	1125
(T)	1576	1125
(U)	1501	1125
(V)	1576	1125
(W)	1801	1125
(X)	1501	1125
(Y)	1501	1125
(Z)	1351	1125
(0)	1223	1125
(1)	1223	1125
(2)	1223	1125
(3)	1223	1125
(4)	1223	1125
(5)	1223	1125
(6)	1223	1125
(7)	1223	1125
(8)	1223	1125
(9)	1223	1125
(+a)	2119	1125
(+b)	2052	1125
(+c)	2052	1125
(+d)	2187	1125
(+e)	2052	1125
(+f)	2187	1125
(+g)	2052	1125
(+h)	2119	1125
(+i)	1984	1125
(+j)	2052	1125
(+k)	2119	1125
(+l)	1917	1125
(+m)	2389	1125
(+n)	2187	1125
(+o)	2052	1125
(+p)	2119	1125
(+q)	2052	1125
(+r)	2052	1125
(+s)	2052	1125
(+t)	1984	1125
(+u)	2187	1125
(+v)	2052	1125
(+w)	2322	1125
(+x)	2187	1125
(+y)	2119	1125
(+z)	2052	1125
(+A)	2472	1125
(+B)	2397	1125
(+C)	2322	1125
(+D)	2397	1125
(+E)	2322	1125
(+F)	2322	1125
(+G)	2397	1125
(+H)	2472	1125
(+I)	2022	1125
(+J)	2097	1125
(+K)	2472	1125
(+L)	2322	1125
(+M)	2622	1125
(+N)	2472	1125
(+O)	2397	1125
(+P)	2322	1125
(+Q)	2397	1125
(+R)	2397	1125
(+S)	2247	1125
(+T)	2472	1125
(+U)	2397	1125
(+V)	2472	1125
(+W)	2697	1125
(+X)	2397	1125
(+Y)	2397	1125
(+Z)	2247	1125
(+0)	2119	1125
(+1)	2119	1125
(+2)	2119	1125
(+3)	2119	1125
(+4)	2119	1125
(+5)	2119	1125
(+6)	2119	1125
(+7)	2119	1125
(+8)	2119	1125
(+9)	2119	1125
(-a)	2119	1125
(-b)	2052	1125
(-c)	2052	1125
(-d)	2187	1125
(-e)	2052	1125
(-f)	2187	1125
(-g)	2052	1125
(-h)	2119	1125
(-i)	1984	1125
(-j)	2052	1125
(-k)	2119	1125
(-l)	1917	1125
(-m)	2389	1125
(-n)	2187	1125
(-o)	2052	1125
(-p)	2119	1125
(-q)	2052	1125
(-r)	2052	1125
(-s)	2052	1125
(-t)	1984	1125
(-u)	2187	1125
(-v)	2052	1125
(-w)	2322	1125
(-x)	2187	1125
(-y)	2119	1125
(-z)	2052	1125
(-A)	2472	1125
(-B)	2397	1125
(-C)	2322	1125
(-D)	2397	1125
(-E)	2322	1125
(-F)	2322	1125
(-G)	2397	1125
(-H)	2472	1125
(-I)	2022	1125
(-J)	2097	1125
(-K)	2472	1125
(-L)	2322	1125
(-M)	2622	1125
(-N)	2472	1125
(-O)	2397	1125
(-P)	2322	1125
(-Q)	2397	1125
(-R)	2397	1125
(-S)	2247	1125
(-T)	2472	1125
(-U)	2397	1125
(-V)	2472	1125
(-W)	2697	1125
(-X)	2397	1125
(-Y)	2397	1125
(-Z)	2247	1125
(-0)	2119	1125
(-1)	2119	1125
(-2)	2119	1125
(-3)	2119	1125
(-4)	2119	1125
(-5)	2119	1125
(-6)	2119	1125
(-7)	2119	1125
(-8)	2119	1125
(-9)	2119	1125
LEFT ( a RIGHT )	1222	1125
LEFT ( b RIGHT )	1155	1125
LEFT ( c RIGHT )	1155	1125
LEFT ( d RIGHT )	1290	1125
LEFT ( e RIGHT )	1155	1125
LEFT ( f RIGHT )	1290	1125
LEFT ( g RIGHT )	1155	1125
LEFT ( h RIGHT )	1222	1125
LEFT ( i RIGHT )	1087	1125
LEFT ( j RIGHT )	1155	1125
